"_id","_labels","_applyNeo4jNaming","_classLabel","_dataTypePropertyLabel","_domainRel","_handleMultival","_handleRDFTypes","_handleVocabUris","_keepCustomDataTypes","_keepLangTag","_objectPropertyLabel","_rangeRel","_subClassOfRel","_subPropertyOfRel","date","description","exhibit","height","img","name","sitelink","uri","width","_start","_end","_type"
"4276",":Paintings","","","","","","","","","","","","","","1890-05-01T00:00","painting by Vincent van Gogh","","59.0","http://commons.wikimedia.org/wiki/Special:FilePath/Gogh%2C%20Vincent%20van%20-%20Cottages.jpg","Thatched Cottages and Houses","8","http://www.wikidata.org/entity/Q4497499","72.0",,,
"4277",":Keyword","","","","","","","","","","","","","","","low area between hills, often with a river running through it","","","","valley","121","http://www.wikidata.org/entity/Q39816","",,,
"4278","","","","","","","","","","","","","","","1884-03-01T00:00","","","","","Weaver","","http://www.wikidata.org/entity/Q20630408","84.4",,,
"4279","","","","","","","","","","","","","","","","","","","","The House of Père Pilon","","http://www.wikidata.org/entity/Q26221232","",,,
"4280","","","","","","","","","","","","","","","","","","","","Ravine","","http://www.wikidata.org/entity/Q20630409","91.7",,,
"4281","","","","","","","","","","","","","","","","","","","","Young Man with Cornflower","","http://www.wikidata.org/entity/Q26221231","",,,
"4282","","","","","","","","","","","","","","","","painting by Vincent van Gogh (Dutch, 1853-1890) (1958.31)","","","","","","http://www.wikidata.org/entity/Q26221230","",,,
"4283",":Keyword","","","","","","","","","","","","","","","edible plant or part of a plant, involved in cooking","","","","vegetable","176","http://www.wikidata.org/entity/Q11004","",,,
"4284","","","","","","","","","","","","","","","","","","73.34","","Bank of the Oise at Auvers","","http://www.wikidata.org/entity/Q26221236","93.66",,,
"4285","","","","","","","","","","","","","","","","","","20.5","","Village Street and Steps in Auvers with Two Figures","","http://www.wikidata.org/entity/Q26221235","",,,
"4286","","","","","","","","","","","","","","","","","","49.8","","Stairway at Auvers","","http://www.wikidata.org/entity/Q26221234","70.1",,,
"4287","","","","","","","","","","","","","","","","","","","","The House of Père Eloi","","http://www.wikidata.org/entity/Q26221233","",,,
"4288",":Genre","","","","","","","","","","","","","","","artistic theme of reproducing animals in art","","","","animal art","16","http://www.wikidata.org/entity/Q16875712","",,,
"4289","","","","","","","","","","","","","","","","","","","","Wheat Field with Cornflowers","","http://www.wikidata.org/entity/Q26221239","",,,
"4290","","","","","","","","","","","","","","","","","","","","Wheat Fields with Auvers in the Background","","http://www.wikidata.org/entity/Q26221238","",,,
"4291","","","","","","","","","","","","","","","","","","","","View of Auvers with Church","","http://www.wikidata.org/entity/Q26221237","",,,
"4292","","","","","","","","","","","","","","","","","","","","The garden at the asylum at Saint-Rémy","","http://www.wikidata.org/entity/Q24020196","75.5",,,
"4293",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh, 1887","","19.0","http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Theo%20van%20Gogh%20-%20s0157V1962%20-%20Van%20Gogh%20Museum.jpg","Portrait of Theo van Gogh","1","http://www.wikidata.org/entity/Q19836075","14.0",,,
"4294",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh, 1887 (Van Gogh Museum, s0156V1962)","","19.0","http://commons.wikimedia.org/wiki/Special:FilePath/Zelfportret%20-%20s0156V1962%20-%20Van%20Gogh%20Museum.jpg","Self-Portrait","1","http://www.wikidata.org/entity/Q19836079","14.0",,,
"4295","","","","","","","","","","","","","","","","","","63.9","","Garden in Auvers","","http://www.wikidata.org/entity/Q26221243","",,,
"4296","","","","","","","","","","","","","","","","","","","","Wheat Fields","","http://www.wikidata.org/entity/Q26221242","",,,
"4297","","","","","","","","","","","","","","","","","","","","House with Sunflowers","","http://www.wikidata.org/entity/Q26221241","",,,
"4298","","","","","","","","","","","","","","","","","","","","Field with Wheat Stacks","","http://www.wikidata.org/entity/Q26221240","",,,
"4299","","","","","","","","","","","","","","","","city in and county seat of Honolulu County, Hawaii, United States, that is also the capital city of Hawaii","","","","Honolulu","","http://www.wikidata.org/entity/Q18094","",,,
